project_number,project_start,project_end,location,priority_project,budget
20036,2025-04-23,2026-03-09,"St. Louis, MO",False,6600000.0
20037,2026-02-17,2026-12-01,"St. Louis, MO",False,5600000.0
20038,2025-12-01,2026-10-21,"Atlanta, GA",False,6700000.0
20039,2025-12-19,2026-08-20,"Atlanta, GA",False,4400000.0
20040,2019-07-13,2020-11-20,"Atlanta, GA",False,12700000.0
20041,2018-09-08,2019-09-08,"Phoenix, AZ",False,8000000.0
20042,2016-04-06,2017-01-06,"Dallas, TX",False,5200000.0
20043,2017-01-26,2017-12-10,"Chicago, IL",False,6500000.0
20044,2022-09-02,2023-05-03,"St. Louis, MO",False,4300000.0
20045,2018-07-19,2019-12-09,"St. Louis, MO",True,42800000.0
20046,2025-05-27,2026-03-26,"Chicago, IL",False,6000000.0
20047,2016-03-05,2016-07-07,"St. Louis, MO",False,1600000.0
20048,2026-03-10,2028-11-16,"Dallas, TX",False,35200000.0
20049,2021-03-22,2021-12-27,"Phoenix, AZ",False,5400000.0
20050,2018-03-17,2018-11-16,"Phoenix, AZ",False,4400000.0
20051,2022-02-06,2023-04-19,"Phoenix, AZ",False,10500000.0
20052,2015-04-19,2015-08-19,"Chicago, IL",False,1200000.0
20053,2022-02-15,2022-11-30,"Denver, CO",False,5600000.0
20054,2020-08-05,2021-10-18,"Atlanta, GA",False,10500000.0
20055,2021-11-13,2022-09-21,"Phoenix, AZ",False,6300000.0
20056,2025-09-10,2026-09-25,"Denver, CO",False,8500000.0
20057,2015-04-24,2016-06-17,"Dallas, TX",True,32200000.0
20058,2022-02-12,2022-12-02,"Phoenix, AZ",False,5700000.0
20059,2025-12-07,2027-05-26,"Phoenix, AZ",True,46300000.0
20060,2020-11-13,2021-12-18,"Phoenix, AZ",False,9200000.0
20061,2020-05-15,2021-02-23,"Denver, CO",True,17900000.0
20062,2026-06-09,2027-08-15,"Chicago, IL",False,10300000.0
20063,2023-02-02,2024-04-14,"Atlanta, GA",False,10500000.0
20064,2017-09-28,2018-06-07,"Chicago, IL",False,4600000.0
20065,2024-01-17,2024-10-02,"Atlanta, GA",False,4800000.0
20066,2016-04-04,2017-05-01,"St. Louis, MO",False,8900000.0
20067,2025-03-06,2027-03-10,"Columbus, OH",False,22800000.0
20068,2020-06-22,2022-05-24,"Chicago, IL",False,21300000.0
20069,2015-02-03,2015-09-13,"Denver, CO",False,3800000.0
20070,2025-05-15,2026-02-03,"St. Louis, MO",False,4900000.0
20071,2016-10-29,2017-07-17,"Phoenix, AZ",False,4800000.0
20072,2017-10-26,2019-01-28,"Chicago, IL",False,11300000.0
20073,2025-12-18,2026-11-15,"Atlanta, GA",False,6900000.0
20074,2021-06-09,2022-08-25,"Chicago, IL",False,10600000.0
20075,2016-08-12,2018-09-21,"St. Louis, MO",False,24500000.0
20076,2025-11-21,2027-01-09,"Dallas, TX",False,9700000.0
20077,2020-04-03,2021-07-09,"Denver, CO",False,11400000.0
20078,2016-04-20,2017-07-10,"St. Louis, MO",False,10800000.0
20079,2018-05-27,2019-01-10,"St. Louis, MO",False,4000000.0
20080,2025-11-25,2027-04-02,"St. Louis, MO",True,40900000.0
20081,2024-12-10,2025-10-18,"Dallas, TX",False,6300000.0
20082,2016-07-17,2017-04-07,"Denver, CO",False,4900000.0
20083,2015-01-18,2018-09-10,"St. Louis, MO",True,181700000.0
20084,2015-10-10,2017-02-22,"St. Louis, MO",False,12900000.0
20085,2020-04-20,2020-08-20,"Phoenix, AZ",False,700000.0
20086,2019-04-30,2020-03-23,"Chicago, IL",True,22200000.0
20087,2023-08-12,2024-07-13,"Columbus, OH",False,7100000.0
20088,2024-09-02,2025-08-24,"Dallas, TX",False,7700000.0
20089,2020-08-02,2021-03-07,"Phoenix, AZ",False,3700000.0
20090,2021-07-06,2022-04-24,"Denver, CO",False,5700000.0
20091,2023-05-20,2024-02-25,"Chicago, IL",False,5400000.0
20092,2015-06-07,2016-03-01,"St. Louis, MO",False,5000000.0
20093,2019-11-04,2021-04-07,"St. Louis, MO",False,13600000.0
20094,2021-08-30,2022-08-10,"Denver, CO",False,7300000.0
20095,2025-09-14,2026-05-25,"Atlanta, GA",False,4600000.0
20096,2016-09-22,2017-07-17,"St. Louis, MO",False,5900000.0
20097,2025-10-02,2026-09-22,"Denver, CO",False,7700000.0
20098,2017-03-02,2017-09-02,"St. Louis, MO",False,2900000.0
20099,2026-03-24,2026-12-05,"St. Louis, MO",False,4700000.0
20100,2024-02-12,2025-07-08,"St. Louis, MO",False,13300000.0
20101,2025-03-06,2026-12-15,"St. Louis, MO",False,18900000.0
20102,2021-10-01,2022-01-31,"Chicago, IL",False,900000.0
20103,2024-01-18,2028-04-26,"Chicago, IL",False,70600000.0
20104,2023-07-26,2024-03-29,"Columbus, OH",False,4500000.0
20105,2023-05-07,2024-12-12,"St. Louis, MO",False,16200000.0
20106,2015-07-26,2016-01-02,"St. Louis, MO",False,2300000.0
20107,2017-09-25,2019-04-01,"Dallas, TX",False,14900000.0
20108,2017-07-15,2018-07-21,"Chicago, IL",False,8200000.0
20109,2022-12-11,2023-11-24,"Phoenix, AZ",False,7400000.0
20110,2026-05-04,2027-03-05,"St. Louis, MO",False,6100000.0
20111,2026-02-09,2026-12-20,"St. Louis, MO",False,6400000.0
20112,2025-10-03,2027-04-24,"Atlanta, GA",False,15500000.0
20113,2016-09-19,2017-05-09,"Chicago, IL",False,4100000.0
20114,2020-07-05,2021-05-14,"Chicago, IL",False,6400000.0
20115,2022-05-19,2023-07-25,"Chicago, IL",True,33600000.0
20116,2025-01-20,2025-06-06,"Phoenix, AZ",False,1800000.0
20117,2026-02-20,2027-03-13,"St. Louis, MO",False,8700000.0
20118,2022-06-11,2023-06-03,"Denver, CO",False,7700000.0
20119,2020-04-30,2021-01-29,"St. Louis, MO",False,5200000.0
20120,2025-08-30,2026-02-07,"St. Louis, MO",False,2300000.0
20121,2016-01-10,2016-11-01,"Chicago, IL",False,5800000.0
20122,2020-12-19,2021-11-15,"St. Louis, MO",False,6900000.0
20123,2023-04-30,2024-04-27,"St. Louis, MO",False,7900000.0
20124,2022-03-07,2023-03-19,"Phoenix, AZ",False,8400000.0
20125,2025-07-28,2026-01-22,"Phoenix, AZ",False,2700000.0
20126,2020-11-16,2022-09-21,"St. Louis, MO",False,20100000.0
20127,2025-10-10,2027-05-21,"St. Louis, MO",False,16300000.0
20128,2015-09-23,2018-02-19,"Dallas, TX",True,97700000.0
20129,2018-08-21,2019-12-17,"Chicago, IL",False,12200000.0
20130,2021-06-23,2023-09-06,"St. Louis, MO",False,26200000.0
20131,2020-11-26,2022-06-16,"Atlanta, GA",False,15500000.0
20132,2020-10-10,2023-09-23,"Denver, CO",True,132500000.0
20133,2016-05-05,2018-03-03,"St. Louis, MO",True,64400000.0
20134,2020-02-16,2021-03-21,"Dallas, TX",False,9100000.0
20135,2015-03-23,2016-09-07,"Dallas, TX",False,14200000.0
20136,2017-09-06,2018-05-04,"Columbus, OH",False,4300000.0
20137,2016-01-20,2016-12-04,"St. Louis, MO",False,6500000.0
20138,2020-11-16,2022-01-04,"Atlanta, GA",False,9600000.0
20139,2023-05-03,2024-01-15,"St. Louis, MO",False,4700000.0
20140,2024-12-03,2025-04-04,"Atlanta, GA",False,900000.0
20141,2022-08-24,2023-05-08,"St. Louis, MO",False,4700000.0
20142,2019-11-12,2020-10-28,"St. Louis, MO",True,24600000.0
20143,2015-06-18,2017-02-19,"Columbus, OH",False,17400000.0
20144,2015-08-31,2015-12-31,"Phoenix, AZ",False,1400000.0
20145,2018-11-20,2019-07-08,"St. Louis, MO",False,4000000.0
20146,2022-06-17,2025-01-21,"Atlanta, GA",False,33500000.0
20147,2025-11-25,2026-03-27,"Atlanta, GA",False,1000000.0
20148,2025-03-18,2026-01-21,"St. Louis, MO",False,6200000.0
20149,2019-10-15,2020-06-19,"Atlanta, GA",False,4500000.0
20150,2020-03-30,2020-08-07,"Columbus, OH",False,1700000.0
20151,2024-04-10,2025-04-10,"Columbus, OH",False,8000000.0
20152,2019-07-04,2020-02-03,"Chicago, IL",False,3600000.0
20153,2025-12-20,2026-04-21,"St. Louis, MO",True,4200000.0
20154,2021-01-12,2021-09-21,"Phoenix, AZ",False,4600000.0
20155,2019-06-13,2019-11-22,"Columbus, OH",False,2400000.0
20156,2017-05-19,2019-04-14,"Phoenix, AZ",False,21000000.0
20157,2026-01-14,2027-01-15,"Atlanta, GA",False,8000000.0
20158,2025-12-25,2026-06-30,"Chicago, IL",False,2900000.0
20159,2020-11-13,2021-12-28,"Dallas, TX",False,9500000.0
20160,2018-09-22,2021-11-04,"Chicago, IL",False,44100000.0
20161,2024-08-10,2025-04-18,"Chicago, IL",True,14900000.0
20162,2023-02-05,2023-08-22,"Denver, CO",False,3200000.0
20163,2019-07-24,2020-06-29,"Denver, CO",False,7200000.0
20164,2020-08-20,2021-08-28,"St. Louis, MO",False,8300000.0
20165,2024-06-18,2026-02-09,"Columbus, OH",True,55100000.0
20166,2024-11-14,2025-04-10,"Chicago, IL",False,2000000.0
20167,2015-08-12,2016-09-01,"Chicago, IL",False,8700000.0
20168,2025-04-18,2025-10-14,"Columbus, OH",False,2700000.0
20169,2024-05-09,2024-12-21,"Chicago, IL",False,3900000.0
20170,2021-06-11,2023-02-25,"Chicago, IL",False,17900000.0
20171,2016-05-02,2016-12-21,"Dallas, TX",False,4100000.0
20172,2016-10-11,2018-03-12,"Chicago, IL",False,13500000.0
20173,2020-08-12,2021-06-04,"Dallas, TX",False,5800000.0
20174,2019-07-03,2020-08-04,"Phoenix, AZ",False,9100000.0
20175,2024-10-07,2025-11-06,"Atlanta, GA",False,9000000.0
20176,2017-07-02,2018-12-13,"Dallas, TX",False,13900000.0
20177,2025-06-16,2027-10-03,"Chicago, IL",True,91000000.0
20178,2019-12-31,2020-08-19,"Chicago, IL",False,4000000.0
20179,2016-12-09,2020-12-13,"St. Louis, MO",True,209800000.0
20180,2018-01-21,2019-06-24,"Chicago, IL",False,13600000.0
