project_number,employee_number,assignment_start,assignment_end
20114,10019,2021-04-23,2021-05-14
20159,10019,2021-06-17,2021-12-28
20034,10019,2022-01-12,2022-03-13
20074,10019,2022-03-19,2022-08-25
20018,10019,2022-10-05,2023-05-19
20018,10019,2023-06-01,2024-02-19
20100,10019,2024-03-30,2024-08-29
20169,10019,2024-10-03,2024-12-21
20018,10019,2025-01-22,2025-06-27
20088,10019,2025-08-09,2025-08-24
20125,10019,2025-09-27,2026-01-22
20101,10019,2026-02-25,2026-07-01
20115,10020,2022-07-14,2023-07-09
20070,10021,2025-06-06,2026-02-03
20073,10021,2026-02-15,2026-07-01
20152,10022,2019-11-28,2020-02-03
20160,10022,2020-02-28,2020-08-04
20179,10022,2020-08-24,2020-12-13
20114,10022,2021-01-05,2021-05-14
20020,10022,2021-06-20,2022-05-18
20178,10023,2020-07-20,2020-08-19
20040,10023,2020-09-06,2020-11-20
20023,10023,2020-12-20,2021-01-31
20126,10023,2021-02-26,2021-07-25
20160,10023,2021-08-26,2021-11-04
20020,10023,2021-11-29,2022-06-18
20094,10023,2022-07-24,2022-08-10
20118,10023,2022-09-21,2023-05-22
20115,10023,2023-06-03,2023-07-25
20123,10023,2023-08-31,2024-04-27
20006,10023,2024-05-12,2024-12-20
20100,10023,2025-01-26,2025-07-08
20070,10023,2025-08-11,2026-02-03
20101,10023,2026-03-01,2026-07-01
20005,10024,2019-10-07,2020-09-17
20040,10024,2020-10-14,2020-11-20
20160,10024,2020-12-02,2021-06-16
20160,10024,2021-07-14,2021-11-04
20131,10024,2021-11-26,2022-04-09
20055,10024,2022-05-23,2022-09-21
20146,10025,2024-04-30,2025-01-14
20081,10025,2025-02-22,2025-10-18
20009,10025,2025-11-02,2026-05-16
20048,10025,2026-06-20,2026-07-01
20067,10026,2025-08-07,2025-11-10
20046,10026,2025-12-14,2026-03-26
20080,10026,2026-05-03,2026-07-01
20129,10027,2018-09-07,2019-03-08
20145,10027,2019-04-17,2019-07-08
20011,10027,2019-08-08,2019-09-02
20018,10028,2024-09-17,2025-04-29
20006,10028,2025-05-24,2025-12-06
20127,10028,2026-01-03,2026-04-24
20028,10028,2026-05-22,2026-07-01
20109,10029,2023-09-09,2023-11-24
20010,10029,2023-12-17,2024-03-07
20051,10030,2022-10-06,2023-04-19
20139,10030,2023-05-13,2024-01-15
20014,10030,2024-01-29,2024-09-14
20014,10030,2024-10-27,2025-02-20
20006,10030,2025-03-17,2025-07-01
20174,10031,2020-03-29,2020-08-04
20089,10031,2020-08-28,2020-12-16
20089,10031,2020-12-29,2021-03-07
20164,10031,2021-04-06,2021-08-28
20138,10031,2021-09-28,2022-01-04
20055,10031,2022-01-27,2022-09-21
20058,10031,2022-10-01,2022-12-02
20124,10031,2023-01-04,2023-03-19
20051,10031,2023-04-18,2023-04-19
20130,10031,2023-04-28,2023-09-06
20063,10031,2023-09-18,2024-04-14
20018,10031,2024-05-05,2024-05-28
20075,10032,2018-04-23,2018-08-13
20180,10032,2018-09-11,2019-06-24
20089,10033,2020-08-28,2021-03-07
20159,10033,2021-03-16,2021-05-23
20013,10034,2020-06-05,2020-07-14
20119,10034,2020-08-26,2021-01-29
20160,10034,2021-03-14,2021-05-25
20163,10035,2020-05-13,2020-06-29
20134,10035,2020-08-09,2021-03-21
20167,10036,2016-06-08,2016-09-01
20017,10036,2016-10-09,2017-05-03
20096,10036,2017-05-29,2017-07-17
20179,10036,2017-08-12,2017-11-25
20179,10036,2017-12-22,2018-06-19
20075,10036,2018-07-17,2018-09-21
20035,10036,2018-10-25,2019-04-29
20179,10036,2019-05-29,2019-10-09
20040,10036,2019-11-17,2020-05-30
20163,10036,2020-06-09,2020-06-29
20160,10036,2020-08-11,2021-04-06
20020,10036,2021-05-11,2021-12-03
20124,10037,2023-01-22,2023-02-15
20003,10038,2021-04-11,2021-09-04
20090,10038,2021-09-23,2022-02-13
20090,10038,2022-03-15,2022-04-24
20124,10038,2022-05-30,2022-10-14
20018,10038,2022-11-21,2023-04-06
20051,10039,2022-07-30,2023-04-05
20018,10039,2023-04-27,2024-04-15
20169,10039,2024-05-09,2024-10-16
20033,10039,2024-11-28,2025-07-09
20067,10039,2025-07-25,2026-07-01
20004,10040,2016-08-12,2016-11-15
20171,10040,2016-12-12,2016-12-21
20004,10040,2016-12-31,2017-10-16
20136,10040,2017-10-30,2018-05-04
20176,10040,2018-05-23,2018-12-07
20129,10040,2018-12-16,2019-07-13
20160,10040,2019-08-20,2020-02-18
20011,10041,2019-04-29,2020-01-30
20142,10041,2020-02-29,2020-10-28
20138,10041,2020-11-24,2021-05-10
20012,10041,2021-06-17,2021-12-21
20126,10041,2022-01-07,2022-08-06
20074,10041,2022-08-20,2022-08-25
20132,10041,2022-09-27,2023-04-09
20031,10041,2023-04-30,2024-01-13
20105,10041,2024-02-10,2024-06-12
20165,10041,2024-07-06,2025-02-09
20141,10042,2022-10-29,2023-05-08
20063,10042,2023-06-05,2023-08-12
20170,10043,2022-09-16,2023-01-19
20118,10043,2023-02-27,2023-06-03
20091,10043,2023-06-10,2023-12-27
20104,10043,2024-01-13,2024-03-29
20018,10043,2024-04-07,2025-09-07
20177,10043,2025-09-16,2026-05-16
20024,10043,2026-06-20,2026-07-01
20128,10044,2017-12-17,2018-02-19
20064,10044,2018-03-05,2018-06-07
20180,10044,2018-07-01,2019-04-04
20180,10044,2019-05-14,2019-06-24
20160,10044,2019-07-29,2019-11-19
20093,10044,2019-12-02,2020-04-01
20149,10044,2020-05-13,2020-06-19
20011,10044,2020-06-30,2021-03-27
20054,10044,2021-04-25,2021-10-18
20027,10044,2021-11-22,2021-12-14
20138,10044,2021-12-29,2022-01-04
20090,10044,2022-01-24,2022-04-24
20131,10044,2022-06-05,2022-06-16
20170,10044,2022-07-18,2023-02-25
20162,10044,2023-03-19,2023-06-30
20018,10044,2023-07-19,2024-02-22
20105,10044,2024-03-23,2024-09-23
20100,10044,2024-10-16,2025-06-18
20068,10045,2020-07-15,2021-05-18
20131,10045,2021-06-30,2022-06-02
20115,10045,2022-06-23,2023-03-07
20130,10045,2023-04-10,2023-08-31
20091,10045,2023-10-02,2024-02-25
20103,10045,2024-04-02,2024-08-04
20103,10045,2024-08-24,2026-01-26
20158,10045,2026-02-21,2026-06-30
20092,10046,2016-02-10,2016-03-01
20017,10046,2016-03-10,2016-04-29
20146,10047,2024-08-13,2025-01-21
20081,10047,2025-02-18,2025-09-23
20127,10047,2025-10-12,2026-01-16
20147,10047,2026-02-05,2026-03-27
20117,10047,2026-04-17,2026-07-01
20060,10048,2021-04-04,2021-10-29
20123,10049,2023-10-15,2024-03-30
20100,10049,2024-05-02,2024-08-26
20132,10050,2023-05-20,2023-09-23
20146,10050,2023-10-19,2024-07-24
20014,10050,2024-08-12,2024-11-05
20136,10051,2018-02-03,2018-05-04
20075,10051,2018-05-12,2018-09-21
20050,10051,2018-09-30,2018-11-16
20045,10051,2018-12-30,2019-10-19
20013,10051,2019-11-19,2020-07-14
20023,10051,2020-07-25,2021-01-31
20093,10051,2021-03-07,2021-04-07
20132,10051,2021-05-07,2021-12-19
20131,10051,2022-01-27,2022-06-16
20018,10051,2022-06-26,2022-10-31
20010,10051,2022-12-10,2023-12-15
20123,10051,2024-01-05,2024-04-27
20014,10051,2024-05-23,2025-01-27
20103,10051,2025-02-24,2026-06-21
20030,10052,2015-02-05,2015-10-25
20143,10052,2015-11-04,2016-11-11
20029,10052,2016-11-21,2017-03-22
20032,10052,2017-04-06,2017-07-13
20004,10052,2017-07-24,2017-12-31
20083,10052,2018-01-14,2018-09-10
20160,10052,2018-10-05,2020-01-31
20149,10052,2020-03-12,2020-06-19
20077,10052,2020-08-02,2021-06-24
20131,10052,2021-07-29,2022-01-30
20053,10052,2022-03-02,2022-06-05
20170,10052,2022-06-28,2023-02-25
20162,10052,2023-03-14,2023-08-22
20031,10052,2023-09-04,2024-01-13
20018,10052,2024-02-18,2024-07-15
20033,10052,2024-08-13,2025-03-06
20103,10052,2025-04-02,2025-11-11
20177,10052,2025-12-12,2026-07-01
20115,10053,2023-02-13,2023-07-25
20018,10053,2023-09-02,2023-11-27
20139,10053,2023-12-29,2024-01-15
20014,10053,2024-02-10,2025-02-02
20081,10053,2025-03-07,2025-10-08
20127,10053,2025-11-18,2026-05-27
20014,10054,2023-09-10,2024-01-15
20006,10054,2024-02-23,2024-03-04
20175,10055,2025-02-12,2025-07-23
20168,10055,2025-08-07,2025-09-25
20103,10056,2025-11-19,2026-07-01
20084,10057,2017-01-26,2017-02-22
20179,10057,2017-03-13,2017-09-20
20156,10057,2017-10-26,2017-11-06
20143,10058,2016-11-12,2017-02-19
20007,10059,2016-03-29,2016-10-14
20113,10059,2016-10-27,2017-05-09
20156,10059,2017-05-31,2018-02-01
20064,10059,2018-02-17,2018-06-07
20180,10059,2018-06-23,2018-11-06
20072,10059,2018-11-16,2019-01-28
20160,10059,2019-02-11,2019-11-26
20103,10060,2025-08-11,2026-02-07
20111,10060,2026-03-17,2026-07-01
20013,10061,2020-04-08,2020-07-14
20023,10061,2020-08-03,2021-01-31
20131,10061,2021-02-24,2021-07-22
20126,10061,2021-07-27,2021-11-26
20126,10061,2021-12-15,2022-02-27
20060,10062,2021-03-28,2021-07-05
20122,10062,2021-08-08,2021-11-15
20126,10062,2021-12-05,2022-09-21
20118,10062,2022-10-01,2023-06-03
20031,10062,2023-06-10,2024-01-13
20105,10062,2024-02-19,2024-06-17
20103,10062,2024-07-08,2026-02-16
20095,10062,2026-03-26,2026-05-25
20039,10062,2026-06-06,2026-07-01
20013,10063,2020-06-16,2020-07-14
20077,10063,2020-08-19,2020-11-25
20023,10063,2020-12-27,2021-01-31
20089,10063,2021-02-26,2021-03-07
20093,10063,2021-04-06,2021-04-07
20136,10064,2017-11-06,2018-04-28
20008,10064,2018-06-11,2018-10-02
20180,10064,2018-11-02,2019-05-19
20086,10064,2019-06-13,2019-11-29
20174,10064,2019-12-22,2020-07-16
20160,10064,2020-08-02,2021-09-17
20049,10064,2021-10-08,2021-12-27
20130,10064,2022-01-01,2022-09-15
20053,10064,2022-09-22,2022-11-30
20170,10064,2023-01-04,2023-01-30
20180,10065,2018-05-18,2019-02-14
20180,10065,2019-03-04,2019-06-24
20005,10065,2019-08-07,2020-03-21
20005,10065,2020-04-18,2020-09-17
20093,10065,2020-10-20,2020-11-15
20096,10066,2017-06-12,2017-07-17
20008,10066,2017-08-27,2018-07-26
20079,10066,2018-08-21,2019-01-10
20145,10066,2019-02-16,2019-07-08
20025,10066,2019-08-18,2019-10-28
20174,10066,2019-12-03,2020-05-28
20119,10066,2020-06-10,2020-09-20
20179,10066,2020-09-30,2020-12-13
20132,10066,2020-12-25,2021-04-09
20138,10066,2021-04-16,2021-09-25
20138,10066,2021-10-26,2022-01-04
20126,10066,2022-01-23,2022-09-21
20018,10066,2022-11-04,2023-05-03
20115,10066,2023-06-05,2023-07-25
20162,10066,2023-08-12,2023-08-22
20105,10066,2023-09-09,2024-06-10
20105,10066,2024-06-25,2024-12-12
20165,10066,2024-12-23,2025-08-12
20137,10067,2016-01-22,2016-05-13
20103,10068,2025-08-30,2026-07-01
20105,10069,2023-10-26,2024-12-12
20014,10069,2025-01-25,2025-06-07
20006,10069,2025-07-14,2025-12-06
20101,10069,2026-01-16,2026-03-17
20005,10070,2020-07-10,2020-09-17
20164,10070,2020-10-19,2021-08-28
20003,10070,2021-09-03,2022-02-14
20053,10070,2022-03-04,2022-04-23
20105,10071,2023-05-11,2024-08-12
20010,10071,2024-08-30,2025-03-22
20165,10071,2025-04-21,2025-08-17
20009,10071,2025-09-19,2026-01-31
20063,10072,2023-10-07,2024-04-14
20146,10072,2024-05-23,2024-10-04
20014,10072,2024-10-16,2025-04-28
20175,10072,2025-05-21,2025-10-13
20019,10072,2025-11-15,2026-03-08
20095,10072,2026-03-20,2026-05-25
20103,10072,2026-06-25,2026-07-01
20035,10073,2019-04-10,2019-04-29
20045,10073,2019-05-16,2019-12-08
20040,10073,2019-12-16,2020-11-20
20011,10073,2020-12-03,2021-03-27
20159,10073,2021-04-19,2021-12-27
20130,10073,2022-01-17,2022-08-20
20053,10073,2022-09-25,2022-11-30
20130,10073,2022-12-22,2023-09-06
20031,10073,2023-09-20,2024-01-13
20065,10073,2024-02-21,2024-10-02
20103,10073,2024-11-14,2025-06-26
20014,10073,2025-07-20,2025-08-06
20177,10073,2025-08-27,2025-12-08
20009,10073,2026-01-17,2026-05-16
20067,10073,2026-06-20,2026-07-01
20075,10074,2017-11-19,2018-06-06
20108,10074,2018-06-11,2018-07-21
20176,10074,2018-07-31,2018-08-12
20004,10075,2016-02-13,2016-11-06
20033,10076,2025-07-03,2025-07-09
20125,10076,2025-07-28,2025-11-11
20067,10076,2025-12-02,2026-05-25
20157,10076,2026-05-31,2026-07-01
20010,10077,2025-04-22,2025-10-14
20070,10077,2025-10-21,2025-11-18
20054,10078,2021-03-01,2021-09-24
20049,10078,2021-10-19,2021-12-27
20131,10078,2022-01-26,2022-06-16
20018,10078,2022-07-07,2023-02-06
20162,10078,2023-03-17,2023-08-22
20063,10078,2023-09-14,2023-09-19
20092,10079,2015-07-11,2016-03-01
20017,10079,2016-03-09,2016-06-29
20105,10080,2024-10-29,2024-12-12
20140,10080,2025-01-14,2025-04-04
20175,10080,2025-05-18,2025-06-27
20146,10081,2022-12-09,2023-04-08
20115,10081,2023-04-16,2023-07-25
20146,10081,2023-08-06,2025-01-21
20175,10081,2025-02-14,2025-06-04
20119,10082,2020-11-16,2021-01-29
20175,10083,2025-10-10,2025-11-06
20009,10083,2025-12-17,2026-01-09
20138,10084,2021-07-14,2022-01-04
20020,10084,2022-01-11,2022-06-18
20074,10084,2022-07-27,2022-08-25
20170,10084,2022-09-01,2023-02-25
20115,10084,2023-03-04,2023-07-25
20130,10084,2023-08-17,2023-09-06
20087,10084,2023-09-27,2024-01-27
20105,10084,2024-02-28,2024-07-09
20151,10085,2024-07-17,2025-04-10
20033,10085,2025-04-30,2025-07-09
20009,10085,2025-08-17,2026-03-09
20080,10085,2026-04-14,2026-07-01
20006,10086,2025-08-07,2025-12-06
20080,10086,2025-12-20,2026-04-26
20103,10086,2026-05-02,2026-07-01
20091,10087,2023-11-27,2024-02-25
20100,10087,2024-03-17,2025-07-08
20014,10087,2025-07-30,2025-08-06
20165,10087,2025-08-24,2026-02-09
20019,10087,2026-02-18,2026-03-08
20059,10087,2026-03-15,2026-07-01
20008,10088,2018-02-28,2018-08-31
20179,10088,2018-10-11,2019-02-26
20145,10088,2019-03-10,2019-07-08
20005,10088,2019-08-04,2020-08-14
20134,10088,2020-08-31,2020-12-29
20089,10088,2021-01-31,2021-03-07
20154,10088,2021-03-31,2021-09-21
20126,10088,2021-09-29,2022-04-11
20090,10088,2022-04-23,2022-04-24
20018,10088,2022-05-13,2022-12-09
20124,10088,2022-12-29,2023-03-19
20074,10089,2022-02-18,2022-08-25
20130,10089,2022-08-30,2023-04-15
20091,10089,2023-05-27,2024-01-01
20103,10089,2024-02-11,2024-10-16
20169,10089,2024-10-30,2024-11-30
20006,10090,2023-06-12,2023-10-26
20087,10090,2023-11-05,2024-07-13
20151,10090,2024-07-29,2025-03-29
20006,10090,2025-04-19,2025-09-16
20046,10090,2025-09-27,2026-03-26
20059,10090,2026-04-02,2026-07-01
20130,10091,2021-11-07,2022-11-12
20124,10091,2022-11-29,2023-03-19
20109,10091,2023-04-13,2023-10-20
20104,10091,2023-11-16,2024-03-29
20100,10091,2024-04-25,2025-02-26
20101,10091,2025-03-31,2026-04-22
20037,10091,2026-05-01,2026-07-01
20010,10092,2022-05-03,2023-04-07
20115,10092,2023-04-30,2023-07-25
20109,10092,2023-08-06,2023-11-24
20024,10093,2026-06-22,2026-07-01
20159,10094,2021-05-09,2021-09-11
20012,10094,2021-09-29,2021-12-21
20090,10094,2022-01-31,2022-04-24
20074,10094,2022-06-03,2022-08-25
20170,10094,2022-09-29,2023-02-25
20063,10094,2023-03-02,2024-04-14
20100,10094,2024-05-19,2025-06-29
20103,10094,2025-07-14,2026-02-05
20103,10094,2026-02-25,2026-07-01
20160,10095,2020-10-27,2021-08-22
20003,10095,2021-09-13,2022-02-14
20068,10095,2022-02-27,2022-05-24
20074,10095,2022-06-16,2022-08-25
20115,10095,2022-09-19,2023-07-25
20091,10095,2023-08-05,2024-02-25
20014,10095,2024-03-13,2024-12-15
20014,10095,2025-01-25,2025-08-06
20148,10095,2025-09-05,2026-01-21
20046,10095,2026-02-12,2026-03-26
20028,10095,2026-05-07,2026-07-01
20012,10096,2021-07-01,2021-09-22
20102,10096,2021-10-04,2022-01-31
20130,10096,2022-02-16,2022-04-29
20139,10097,2023-12-19,2024-01-15
20006,10097,2024-01-27,2024-09-23
20105,10097,2024-10-16,2024-12-12
20175,10097,2025-01-21,2025-11-06
20009,10097,2025-12-13,2026-05-16
20117,10097,2026-05-24,2026-07-01
20070,10098,2026-01-09,2026-02-03
20073,10098,2026-03-12,2026-07-01
20061,10099,2020-11-21,2021-02-23
20003,10099,2021-04-04,2022-02-14
20130,10099,2022-03-04,2022-08-11
20015,10099,2022-09-12,2023-01-03
20141,10099,2023-01-26,2023-04-28
20091,10099,2023-06-08,2023-12-18
20014,10099,2023-12-25,2024-09-29
20006,10099,2024-10-31,2025-01-06
20017,10100,2016-03-31,2016-12-14
20082,10100,2016-12-24,2017-04-07
20179,10100,2017-04-18,2017-07-16
20108,10100,2017-08-20,2018-07-21
20035,10100,2018-08-02,2019-04-29
20180,10100,2019-05-09,2019-06-24
20179,10100,2019-07-19,2019-09-23
20045,10100,2019-10-19,2019-12-09
20163,10100,2020-01-16,2020-06-29
20179,10100,2020-07-26,2020-12-13
20093,10100,2021-01-13,2021-04-07
20060,10100,2021-05-13,2021-09-04
20020,10100,2021-09-25,2022-06-18
20132,10100,2022-07-23,2023-05-18
20005,10101,2020-04-04,2020-07-06
20114,10101,2020-07-25,2021-03-16
20159,10101,2021-03-21,2021-12-28
20068,10101,2022-01-21,2022-05-24
20130,10101,2022-06-04,2023-07-10
20006,10101,2023-08-11,2024-01-22
20104,10101,2024-02-06,2024-03-29
20006,10101,2024-05-07,2025-01-22
20010,10101,2025-02-18,2025-12-11
20073,10101,2025-12-23,2026-06-23
20084,10102,2016-08-13,2016-12-12
20026,10102,2017-01-19,2017-05-23
20078,10102,2017-05-28,2017-07-10
20083,10102,2017-08-18,2018-08-12
20179,10102,2018-09-18,2019-05-18
20086,10102,2019-06-10,2020-03-23
20142,10102,2020-05-06,2020-10-28
20114,10102,2020-12-05,2021-03-14
20126,10102,2021-03-19,2021-09-23
20165,10103,2024-09-03,2025-06-16
20008,10104,2018-04-26,2018-10-02
20107,10104,2018-11-05,2019-02-02
20013,10104,2019-02-12,2020-07-14
20011,10105,2019-10-12,2020-03-08
20134,10105,2020-04-11,2020-12-02
20060,10105,2020-12-18,2021-05-19
20054,10106,2021-04-19,2021-10-18
20160,10106,2021-10-24,2021-11-04
20090,10106,2021-12-04,2022-01-16
20114,10107,2020-09-01,2021-05-14
20077,10107,2021-06-14,2021-07-09
20054,10107,2021-07-14,2021-10-18
20094,10107,2021-10-25,2022-08-09
20055,10107,2022-08-23,2022-09-21
20141,10107,2022-10-30,2023-05-08
20031,10107,2023-06-07,2023-12-09
20006,10107,2024-01-07,2024-08-19
20100,10107,2024-09-29,2025-07-08
20067,10107,2025-08-18,2026-06-05
20135,10108,2015-10-21,2016-07-11
20100,10109,2025-03-02,2025-07-08
20081,10109,2025-08-03,2025-10-18
20120,10109,2025-10-30,2026-02-07
20101,10109,2026-03-13,2026-07-01
20046,10110,2025-08-15,2026-01-08
20127,10110,2026-02-16,2026-07-01
20078,10111,2017-06-28,2017-07-10
20179,10111,2017-08-12,2018-05-09
20075,10111,2018-05-21,2018-09-21
20156,10111,2018-10-02,2019-04-14
20129,10111,2019-05-06,2019-12-17
20142,10111,2020-01-30,2020-09-13
20142,10111,2020-10-25,2020-10-28
20061,10111,2020-11-21,2021-02-23
20126,10111,2021-04-02,2022-02-01
20003,10111,2022-02-06,2022-02-14
20068,10111,2022-03-16,2022-05-24
20130,10111,2022-06-12,2023-02-03
20132,10111,2023-02-23,2023-07-30
20123,10111,2023-09-03,2024-02-08
20018,10111,2024-03-15,2025-03-08
20140,10111,2025-04-02,2025-04-04
20103,10111,2025-04-18,2025-12-23
20050,10112,2018-03-17,2018-11-16
20129,10112,2018-12-06,2019-05-01
20045,10112,2019-05-19,2019-11-21
20129,10112,2019-11-28,2019-12-17
20152,10112,2020-01-19,2020-02-03
20160,10112,2020-02-19,2021-04-06
20138,10112,2021-05-01,2022-01-04
20003,10112,2022-02-13,2022-02-14
20126,10112,2022-03-21,2022-09-21
20058,10112,2022-10-28,2022-12-02
20015,10112,2022-12-21,2023-01-03
20115,10112,2023-01-23,2023-07-17
20091,10112,2023-08-09,2024-02-25
20100,10112,2024-04-04,2024-12-12
20146,10112,2025-01-14,2025-01-21
20140,10112,2025-03-05,2025-04-04
20006,10112,2025-05-09,2025-12-06
20095,10112,2026-01-07,2026-05-25
20086,10113,2019-08-21,2020-03-23
20077,10113,2020-04-18,2021-04-06
20122,10113,2021-04-12,2021-07-11
20141,10114,2023-04-07,2023-05-08
20109,10114,2023-06-16,2023-11-24
20123,10114,2023-11-29,2024-03-30
20053,10115,2022-08-26,2022-11-30
20044,10115,2022-12-17,2023-05-03
20018,10115,2023-06-11,2023-10-15
20137,10116,2016-07-08,2016-12-04
20026,10116,2016-12-26,2017-05-23
20032,10116,2017-07-02,2017-07-13
20128,10116,2017-07-23,2018-02-19
20004,10116,2018-03-13,2018-03-19
20023,10117,2021-01-21,2021-01-31
20068,10117,2021-03-15,2021-11-06
20159,10117,2021-12-01,2021-12-28
20130,10117,2022-01-28,2022-10-24
20141,10117,2022-11-17,2023-03-05
20162,10117,2023-04-06,2023-05-10
20086,10118,2019-07-26,2020-02-18
20011,10118,2020-02-24,2021-03-20
20077,10118,2021-04-29,2021-07-09
20012,10118,2021-08-15,2021-12-21
20090,10118,2022-01-12,2022-04-24
20132,10118,2022-05-31,2023-06-20
20146,10118,2023-07-27,2024-02-11
20123,10118,2024-03-25,2024-04-27
20006,10118,2024-05-17,2025-01-21
20166,10118,2025-02-22,2025-04-10
20006,10118,2025-04-17,2025-12-06
20165,10118,2026-01-04,2026-02-09
20101,10118,2026-03-04,2026-07-01
20084,10119,2015-12-02,2016-12-20
20066,10119,2017-01-21,2017-05-01
20156,10119,2017-06-12,2018-01-29
20008,10119,2018-03-14,2018-09-14
20129,10119,2018-10-28,2019-04-22
20045,10119,2019-05-27,2019-10-28
20086,10119,2019-11-23,2020-03-23
20134,10119,2020-04-17,2020-08-17
20114,10119,2020-09-23,2021-05-14
20049,10119,2021-05-31,2021-09-22
20138,10119,2021-09-27,2021-10-24
20051,10120,2022-04-06,2022-08-20
20146,10120,2022-08-28,2022-12-20
20026,10121,2016-10-07,2017-05-23
20043,10121,2017-05-28,2017-12-10
20004,10121,2018-01-13,2018-04-25
20075,10121,2018-05-22,2018-09-21
20176,10121,2018-10-16,2018-12-13
20079,10121,2019-01-04,2019-01-10
20041,10121,2019-02-02,2019-04-08
20078,10122,2016-04-23,2017-02-25
20032,10122,2017-03-22,2017-05-10
20098,10123,2017-07-25,2017-09-02
20008,10123,2017-09-13,2018-10-02
20179,10123,2018-10-22,2020-01-25
20040,10123,2020-02-06,2020-08-01
20005,10123,2020-08-26,2020-09-17
20142,10123,2020-10-13,2020-10-28
20061,10123,2020-11-11,2021-02-23
20154,10123,2021-03-20,2021-07-31
20094,10123,2021-09-01,2022-05-01
20058,10123,2022-05-20,2022-12-02
20010,10123,2023-01-13,2023-10-10
20109,10123,2023-10-16,2023-11-24
20006,10123,2024-01-04,2024-08-22
20018,10123,2024-10-02,2025-10-09
20070,10123,2025-11-10,2026-02-03
20056,10123,2026-03-02,2026-07-01
20108,10124,2017-10-27,2018-03-26
20156,10124,2018-04-18,2019-04-01
20025,10124,2019-05-03,2019-08-18
20045,10124,2019-09-23,2019-12-09
20013,10124,2020-01-12,2020-07-14
20089,10124,2020-08-25,2021-01-24
20011,10124,2021-02-19,2021-03-27
20012,10124,2021-04-14,2021-11-21
20027,10124,2021-12-11,2021-12-14
20049,10124,2021-12-19,2021-12-27
